tweet_id,source,text,created_at,entities,keywords,inserted_at,slogan
2013572296808485101,BBCWorld,China demands Taliban protect its citizens after deadly Kabul blast https://t.co/uQtgqEvuPF,,"{'People': [], 'Countries': ['China', 'Taliban', 'Kabul'], 'Orgs': [], 'Slogan': []}","['Politics', 'Security', 'International Relations']",2026-01-20 13:21:57.517899,
2013572294132584889,BBCWorld,Anthony Joshua's driver appears in court after crash that killed two https://t.co/pL09BNhAXs,,"{'People': ['Anthony Joshua'], 'Countries': [], 'Orgs': [], 'Slogan': ''}","{'Key Topics': ['Accident', 'Court']}",2026-01-20 13:21:58.935391,
2013598446301696479,AJEnglish,"An Al Jazeera Digital investigation has uncovered evidence that neighbourhoods in north Gaza are being excavated during the ceasefire, pointing to a larger plan to rebuild illegal Israeli settlements. https://t.co/dIaE3wqRwa",,"{'People': [], 'Countries': ['Gaza', 'Israel'], 'Orgs': ['Al Jazeera'], 'Slogan': []}","{'Topics': ['Investigation', 'Ceasefire', 'Illegal Settlements']}",2026-01-20 13:22:03.020830,
2013594358017089588,AJEnglish,"""The world’s best hope is that the other 191 countries of the UN besides the US and Israel finally say no to their addiction to hybrid war: no to regime-change operations, no to unilateral sanctions.""

— #AJOpinion by Jeffrey Sachs &amp; Sybil Fares ⤵️ https://t.co/nuqlvRK2Hv",,"{'People': ['Jeffrey Sachs', 'Sybil Fares'], 'Countries': ['US', 'Israel'], 'Orgs': ['UN'], 'Slogan': None}","{'Key Topics': ['Politics', 'War'], 'Slogan': 'HYBRID WAR'}",2026-01-20 13:22:05.528318,
2013591715748233633,AJEnglish,"A wildfire in the Serik district of Antalya, Turkiye was brought under control by firefighters before it spread to residential areas. https://t.co/N0NegwCqNT",,"{'People': [], 'Countries': ['Turkiye'], 'Orgs': [], 'Slogan': []}","['Wildfire', 'Firefighters']",2026-01-20 13:22:07.015251,
2013616291718869148,Reuters,"Rescue workers clearing Karachi inferno ruins, 57 missing feared dead https://t.co/abNwZQvJ2I https://t.co/abNwZQvJ2I",,"{'People': [], 'Countries': ['Pakistan'], 'Orgs': [], 'Slogan': []}","['Rescue', 'Karachi', 'inferno', 'missing', 'dead']",2026-01-20 14:16:44.386876,Karachi Rescue
2013615032429347195,Reuters,"South African rand weakens on risk-off mood, traders await mining data https://t.co/qQCrq8BLNL https://t.co/qQCrq8BLNL",,"{'Countries': ['South Africa'], 'Orgs': [], 'People': [], 'Slogan': []}","['Economy', 'Finance', 'Mining']",2026-01-20 14:16:46.808332,Market Watch
2013614671639781599,Reuters,WEF panel ‘Rebuilding Trust in Latin America’ https://t.co/oXgvP20uT2,,"{'People': [], 'Countries': ['Latin America'], 'Orgs': ['WEF'], 'Slogan': []}","['Politics', 'Trust', 'Rebuilding', 'Latin America']",2026-01-20 14:16:50.310163,Rebuild Trust
2013614288993128936,BBCWorld,Kurdish-led forces pull out of camp for IS families during clashes in Syria https://t.co/lhuqLNAfF5,,"{'People': [], 'Countries': ['Syria'], 'Orgs': ['Kurdish-led forces'], 'Slogan': []}","['Conflict', 'War', 'IS families', 'Clashes']",2026-01-20 14:17:15.509913,Kurdish Withdrawal
2013612481437147356,AJEnglish,"In an exclusive interview with Al Jazeera from hiding, Uganda’s opposition leader Bobi Wine says he escaped a raid on his home after a disputed presidential election, which he claims was rigged. https://t.co/c0OxyuLuzG",,"{'People': ['Bobi Wine'], 'Countries': ['Uganda'], 'Orgs': ['Al Jazeera']}","['Politics', 'Elections', 'Opposition']",2026-01-20 14:17:24.384478,Election Integrity
2013611253168537955,AJEnglish,"BREAKING: SDF says soldiers have withdrawn ‍from al-Hol camp housing ⁠ISIL and redeployed to areas 'facing increasing threats'

🔴 LIVE updates: https://t.co/ParWFy20Fa https://t.co/58swDEaYav",,"{'People': [], 'Countries': [], 'Orgs': ['SDF', 'ISIL'], 'Slogan': []}","['Military', 'Withdrawal', 'Threats', 'Camp', 'Al-Hol']",2026-01-20 14:17:26.842407,Threats Rising
2013608702046281758,AJEnglish,"ISIL (ISIS) has claimed responsibility for an explosion at a Chinese restaurant in Afghanistan’s capital, Kabul, that killed at least seven people https://t.co/HvrkpnFMgP https://t.co/PHVGkgjW7N",,"{'people': [], 'countries': ['Afghanistan', 'China'], 'orgs': ['ISIL', 'ISIS'], 'slogan': []}","['Terrorism', 'Explosion', 'Conflict']",2026-01-20 14:17:29.125999,Kabul Attack
2013618805969240453,Reuters,"Exclusive: Investigators find broken joint on track at Spanish rail crash site, source says https://t.co/sIwoE04Eo4 https://t.co/sIwoE04Eo4",,"{'People': [], 'Countries': ['Spain'], 'Orgs': [], 'Slogan': []}","['Investigation', 'Rail', 'Crash']",2026-01-20 14:29:32.903778,Rail Safety
2013617658625769750,AJEnglish,Former champion Osaka’s walkout steals the show in Melbourne as holder Jannik Sinner eases into the second round. https://t.co/qM65uKosAb,,"{'People': ['Osaka', 'Jannik Sinner'], 'Countries': ['Australia'], 'Orgs': [], 'Slogan': []}","['Sports', 'Tennis']",2026-01-20 14:30:04.983097,Melbourne Magic
2013622583124472129,Reuters,"Sabalenka ready to mix it up, Alcaraz continues career Grand Slam bid https://t.co/XAKvm9U0dL https://t.co/XAKvm9U0dL",,"{'People': ['Sabalenka', 'Alcaraz'], 'Countries': [], 'Orgs': [], 'Slogan': []}","['Sports', 'Tennis']",2026-01-20 14:42:13.395785,Grand Slam
2013621735984374083,Reuters,Conversation with Qatar Prime Minister at Davos https://t.co/JoOxiOlxUK,,"{'People': ['Prime Minister'], 'Countries': ['Qatar'], 'Orgs': ['Davos']}","['Politics', 'International Relations']",2026-01-20 14:42:15.831562,Global Dialogue
2013621319716204913,Reuters,Turkey's Kurdish party says Syria deal leaves Ankara 'no excuses' on peace process https://t.co/Hy2oMsrDsf https://t.co/Hy2oMsrDsf,,"{'People': [], 'Countries': ['Turkey', 'Syria', 'Ankara'], 'Orgs': ['Kurdish party'], 'Slogan': []}","['Politics', 'Peace Process', 'Syria Deal']",2026-01-20 14:42:18.007511,No Excuses
2013622917532107082,BBCWorld,Nigerian homicide police investigate death of singer Destiny Boy at 22 https://t.co/3pNadPydK0,,"{'People': ['Destiny Boy'], 'Countries': ['Nigeria'], 'Orgs': [], 'Slogan': ''}","['Music', 'Crime', 'Investigation']",2026-01-20 14:42:46.241575,Justice First
2013623847384240324,Reuters,German producer prices fall 2.5% y/y in December https://t.co/CZpHx4g6fs https://t.co/CZpHx4g6fs,,"{'Countries': ['Germany'], 'Orgs': [], 'People': [], 'Slogan': []}","['Economy', 'Producer Prices']",2026-01-20 14:47:42.114509,Price Drop
2013623802085679520,AJEnglish,"The Syrian gov't’s lightning-fast offensive took oil-rich territory long held by the Kurdish-led SDF, before a ceasefire was agreed. 

While the truce is shaky, Al Jazeera’s @vpietromarchi explains how recent developments have shifted the balance of power in the country. https://t.co/2xCtLLYLp7",,"{'People': ['vpietromarchi'], 'Countries': ['Syria'], 'Orgs': ['Al Jazeera'], 'Slogan': ''}","['Politics', 'War']",2026-01-20 14:48:18.363571,Shaky Ceasefire
2013627633842446440,Reuters,"🔊 ‘This has been opposed by many politicians … who think this very large embassy could be used as a base for spying.’ On Reuters World News, @AndyMacaskill on the protests against plans for a Chinese mega embassy in London https://t.co/3zRtJa2lQ4 https://t.co/0fichi9GYT",,"{'People': ['Andy Macaskill'], 'Countries': ['China', 'United Kingdom'], 'Orgs': ['Reuters'], 'Slogan': []}","['Politics', 'Embassy', 'Protests', 'Spying']",2026-01-20 15:00:27.240131,Mega Embassy
2013627227443994910,Reuters,"Several CEOs this month, including Exxon Mobil's Darren Woods and JPMorgan's Jamie Dimon, offered temperate critiques of certain Trump agenda items. But they limited their remarks to sectors where they have interests — Venezuela's oil and Federal Reserve https://t.co/pLxW0I70yf",,"{'people': ['Darren Woods', 'Jamie Dimon', 'Trump'], 'countries': ['Venezuela'], 'organizations': ['Exxon Mobil', 'JPMorgan'], 'slogan': None}","['Politics', 'Business', 'Oil', 'Federal Reserve']",2026-01-20 15:00:29.862826,Measured Critique
2013626930164072880,Reuters,"President Trump said there was 'no going back' on his goal to control Greenland, refusing to rule out taking the Arctic island by force and rounding on allies as European leaders struggled to respond. Follow our live coverage here: https://t.co/Jf3MKOCQIN",,"{'people': ['Trump'], 'countries': ['Greenland'], 'organizations': [], 'slogan': ''}","['Politics', 'Conflict', 'International Relations']",2026-01-20 15:00:32.247348,Arctic Ambitions
2013630132599005480,Reuters,Israel demolishes buildings in UN Palestinian agency's East Jerusalem compound https://t.co/weuYbXdhfJ https://t.co/weuYbXdhfJ,,"{'People': [], 'Countries': ['Israel', 'Palestine'], 'Orgs': ['UN'], 'Slogan': []}","['Politics', 'Conflict', 'Middle East']",2026-01-20 15:13:20.750996,Justice Now
2013628876388184133,Reuters,NHL roundup: Wild topple Leafs behind Marcus Foligno's hat trick https://t.co/vWfTsCGQ7n https://t.co/vWfTsCGQ7n,,"{'People': ['Marcus Foligno'], 'Orgs': ['NHL', 'Wild', 'Leafs']}","['Sports', 'Hockey']",2026-01-20 15:13:22.858041,Hat Trick
2013627694802407450,Reuters,Warriors F Jimmy Butler III undergoes MRI on injured knee https://t.co/wiOuybXoLa https://t.co/wiOuybXoLa,,"{'People': ['Jimmy Butler III'], 'Orgs': ['Warriors']}","['Sports', 'Injury', 'Basketball']",2026-01-20 15:13:24.997985,Knee Injury
2013627996851024042,AJEnglish,"BREAKING: Syrian Army says ready to take over al-Hol camp, ISIL prisons in region after SDF announces pull-out.

🔴 LIVE updates: https://t.co/T2aBYvMC81 https://t.co/dB1kHP0Gwq",,"{'People': [], 'Countries': ['Syria'], 'Orgs': ['Syrian Army', 'ISIL', 'SDF'], 'Slogan': []}","['Politics', 'War', 'Syria', 'ISIL', 'SDF', 'al-Hol camp']",2026-01-20 15:13:52.559452,Ready Takeover
2013633903102169348,Reuters,"New Zealand's Milne, Bracewell suffer injuries ahead of T20 World Cup https://t.co/WMC73cmLFT https://t.co/WMC73cmLFT",,"{'people': ['Milne', 'Bracewell'], 'countries': ['New Zealand'], 'orgs': [], 'slogan': ''}","['Sports', 'Cricket', 'Injuries', 'T20 World Cup']",2026-01-20 15:26:01.755387,Injury Concerns
2013632610686378327,Reuters,"Japan's government bonds are in free fall as investors take a dim view of an atmosphere of competitive spending on the hustings, where politicians are jostling to cut taxes in an economy with the heaviest debt burden in the developed world https://t.co/yU5Q4aEVS3 https://t.co/NWN3Bun9L8",,"{'People': [], 'Countries': ['Japan'], 'Orgs': [], 'Slogan': []}","['Economy', 'Government Bonds', 'Investors', 'Competitive Spending', 'Politicians', 'Tax Cuts', 'Debt Burden']",2026-01-20 15:26:05.206375,Debt Dilemma
2013632522593411317,Reuters,"US's Lutnick, UK's Reeves, Canada's Champagne in Davos WEF panel https://t.co/mpfaC48qrW",,"{'People': ['Lutnick', 'Reeves', 'Champagne'], 'Countries': ['US', 'UK', 'Canada'], 'Orgs': ['WEF']}","['Politics', 'Economy', 'Davos']",2026-01-20 15:26:08.009210,Global Leaders
2013633646599504021,AJEnglish,Ukraine opposition politician Yulia Tymoshenko is accused of trying to obstruct new cabinet appointments as she clashes with President Zelenskyy. https://t.co/PgeNz1orDb,,"{'People': ['Yulia Tymoshenko', 'Zelenskyy'], 'Countries': ['Ukraine']}","['Politics', 'Government']",2026-01-20 15:26:41.532594,Political Clash
2013636425829306621,Reuters,Labor relations in sports: collective bargaining in 2026 and beyond https://t.co/iVPVZVER0a https://t.co/iVPVZVER0a,,[],"['Labor relations', 'sports', 'collective bargaining', '2026']",2026-01-20 15:38:50.778349,Collective Bargaining
2013635254196592907,Reuters,From laid off to leveling up: One worker’s low-cost career pivot https://t.co/h81eZZHFMj https://t.co/h81eZZHFMj,,[],"['Career', 'Job', 'Employment']",2026-01-20 15:38:51.930028,Career Pivot
2013635176111260030,Reuters,"🔊 ‘He's been told by lots of politicians that allowing China this very large embassy is going to leave Britain vulnerable for potentially decades to come.’ On Reuters World News, @AndyMacaskill on the warnings delivered to Prime Minister Keir Starmer https://t.co/NBzei23n9g https://t.co/QC4c7HHjfi",,"{'People': ['Keir Starmer', 'Andy Macaskill'], 'Countries': ['China', 'Britain'], 'Orgs': ['Reuters']}","['Politics', 'Diplomacy', 'Security']",2026-01-20 15:38:54.407722,Embassy Vulnerability
2013634774187843920,BBCBreaking,No new criminal charges against child killer Lucy Letby following further allegations over baby deaths https://t.co/vgTsDBWnDw,,"{'People': ['Lucy Letby'], 'Countries': [], 'Orgs': [], 'Slogan': []}","['Crime', 'Healthcare', 'Child Safety']",2026-01-20 15:39:07.837526,Justice Delayed
2013635129344950423,AJEnglish,"Far-right Israeli minister Itamar Ben-Gvir supervised as bulldozers demolished UNRWA’s headquarters in occupied East Jerusalem on Tuesday. 

The destruction comes as Israel clamps down on NGOs providing humanitarian aid to Palestinians. https://t.co/Py8tIRqi7i",,"{'people': ['Itamar Ben-Gvir'], 'countries': ['Israel', 'Palestine'], 'orgs': ['UNRWA'], 'slogan': None}","['Politics', 'Humanitarian Aid', 'Conflict']",2026-01-20 15:39:27.958938,Demolition Destruction
2013640199658500407,Reuters,Spain train crash: Heavy machinery deployed to find missing bodies among wreckage https://t.co/fM0tRfAkvJ https://t.co/fM0tRfAkvJ,,"{'People': [], 'Countries': ['Spain'], 'Orgs': [], 'Slogan': []}","['Accident', 'Emergency', 'Transport']",2026-01-20 15:51:36.557342,Find Bodies
2013639908615684117,Reuters,"While President Trump’s latest actions are upsetting global markets, the odds of a true correction remain uncertain as investors struggle to price the risk of a changing world order, writes ROI’s @ReutersJamie https://t.co/UQo61HtUxt https://t.co/bFOW8ZjcOT",,"{'people': ['Trump', 'Jamie'], 'countries': [], 'orgs': ['ROI', 'Reuters'], 'slogan': ''}","['Politics', 'Markets', 'Investors']",2026-01-20 15:51:39.255914,Market Uncertainty
2013638961978040339,Reuters,Mexican cross-country skier Martinez breaks barriers on path to Games https://t.co/NmISGyh9Pe https://t.co/NmISGyh9Pe,,"{'People': ['Martinez'], 'Countries': ['Mexico'], 'Orgs': [], 'Slogan': []}","['Sports', 'Winter Olympics', 'Skiing']",2026-01-20 15:51:41.610022,Breaking Barriers
2013640500599816196,AJEnglish,"BREAKING: The ‍Syrian ‍presidency says it's reached an understanding ⁠with the ​SDF under which the group will have ‍four days ⁠to agree on a plan for the practical integration of the northeastern Hasakah ​province.

🔴 LIVE updates: https://t.co/I7Bdhri66B https://t.co/SljqNEOkw8",,"{'People': [], 'Countries': ['Syria'], 'Orgs': ['SDF'], 'Slogan': []}","['Politics', 'Syria', 'Hasakah', 'SDF', 'Integration']",2026-01-20 15:52:08.934110,Practical Agreement
2013640014907752749,AJEnglish,"BREAKING: Syria gives SDF four days to agree on 'practical integration' of Hasakah province 

🔴 LIVE updates: https://t.co/XpYUEJKgIi https://t.co/6Cw1x3xGQl",,"{'People': [], 'Countries': ['Syria'], 'Orgs': ['SDF'], 'Slogan': ''}","['Politics', 'Syria', 'Hasakah', 'Integration']",2026-01-20 15:52:11.350210,Practical Agreement
2013643020336328828,Reuters,Argentina's economic activity expected to grow 1.7% year-on-year in November: Reuters poll https://t.co/fUpEnLdDB7 https://t.co/fUpEnLdDB7,,"{'Countries': ['Argentina'], 'Orgs': ['Reuters']}","['Economy', 'Growth']",2026-01-20 16:04:16.936279,Economic Growth
2013642675589931025,Reuters,Spanish rescuers used cranes and heavy machinery to gain access to the worst-hit carriages in one of Europe's deadliest train crashes as they sought to recover the remains of people still missing in a disaster that left at least 41 dead https://t.co/Y7jCynYl27 https://t.co/Y6vyZ5aNzd,,"{'People': [], 'Countries': ['Spain', 'Europe'], 'Orgs': [], 'Slogan': []}","['Disaster', 'Train Crash', 'Rescue', 'Casualties']",2026-01-20 16:04:19.041424,Rescue Efforts
2013646510282494050,Reuters,At least four dead as floods sweep across Tunisia https://t.co/4bxSO1r67R https://t.co/4bxSO1r67R,,"{'Countries': ['Tunisia'], 'People': [], 'Orgs': [], 'Slogan': []}","['Floods', 'Disaster']",2026-01-20 16:17:06.745393,Nature Strikes
2013645248975589726,Reuters,"Scotland recall Gray, Cherry for Six Nations Championship https://t.co/SOwhWOfg9q https://t.co/SOwhWOfg9q",,"{'People': ['Gray', 'Cherry'], 'Countries': ['Scotland'], 'Orgs': ['Six Nations Championship']}","['Sports', 'Rugby', 'Championship']",2026-01-20 16:17:08.919283,Team Recalled
2013643978655068411,Reuters,"Wales call up uncapped duo as Reffell, Dyer omitted from Six Nations squad https://t.co/igUcyZGHEL https://t.co/igUcyZGHEL",,"{'People': ['Reffell', 'Dyer'], 'Countries': ['Wales'], 'Orgs': ['Six Nations']}","['Sports', 'Rugby']",2026-01-20 16:17:11.566775,Squad Changes
2013646450782245211,AJEnglish,"Iranian state TV has been hacked, to show messages from the exiled son of the late Shah. 

Iranian authorities are still hunting for suspects they describe as ‘spies and infiltrators’ accused of causing chaos during the protests. Al Jazeera's @soraya_lennie explains. https://t.co/s3bA0XNtJz",,"{'People': ['exiled son of the late Shah', 'soraya_lennie'], 'Countries': ['Iran'], 'Orgs': ['Al Jazeera']}","['Politics', 'Protests', 'Hacking', 'Media']",2026-01-20 16:17:50.116234,Hacked Signals
2013643971390546337,AJEnglish,"US President Trump has doubled down on his bid to take over Greenland before his appearance at the World Economic Forum in Davos, Switzerland, by slamming key allies. https://t.co/6Yzik2Ehux",,"{'people': ['Trump'], 'countries': ['US', 'Greenland', 'Switzerland'], 'orgs': ['World Economic Forum'], 'slogan': []}","['Politics', 'Economy']",2026-01-20 16:17:54.723247,Greenland Takeover
2013649005532577825,Reuters,Chris Pratt takes audiences along on immersive AI journey in 'Mercy' https://t.co/rmLpXrXiGv https://t.co/rmLpXrXiGv,,"{'People': ['Chris Pratt'], 'Orgs': [], 'Countries': [], 'Slogan': ''}","['Entertainment', 'AI', 'Film']",2026-01-20 16:30:01.546262,AI Journey
2013652823653650754,Reuters,"US estimates 200 Islamic State fighters escaped Syrian prison, US official says https://t.co/3N1WAucElM https://t.co/3N1WAucElM",,"{'People': [], 'Countries': ['US', 'Syria'], 'Orgs': ['Islamic State'], 'Slogan': []}","['War', 'Terrorism']",2026-01-20 16:42:44.339514,Prison Escape
2013652742187917547,Reuters,US President Trump lambasted Britain's deal to cede sovereignty of the Chagos Archipelago including an island with an important US-UK air base as an act of ‘total weakness’ and ‘great stupidity’ underlining why he wants to acquire Greenland https://t.co/YAUnwXsZYS https://t.co/g87tzhcRQ2,,"{'People': ['Trump'], 'Countries': ['US', 'Britain'], 'Orgs': [], 'Slogan': []}","['Politics', 'Sovereignty', 'Diplomacy']",2026-01-20 16:42:47.303193,Total Weakness
2013652342084636838,Reuters,"WEF panel on AI and economy with IMF's Georgieva, Microsoft's Smith https://t.co/xjtR6MBt6P",,"{'People': ['Georgieva', 'Smith'], 'Orgs': ['WEF', 'IMF', 'Microsoft']}","['Economy', 'AI']",2026-01-20 16:42:49.222229,AI Economy
2013653231373554091,BBCWorld,Colombia sentences ex-paramilitary leader Mancuso to 40 years in jail https://t.co/6FEpNbxit0,,"{'People': ['Mancuso'], 'Countries': ['Colombia'], 'Orgs': [], 'Slogan': []}","['Law', 'Justice', 'Crime']",2026-01-20 16:43:12.190985,Justice Served
2013652664299532323,BBCWorld,Ex-president accused of murder plot expelled from Togo to Burkina Faso https://t.co/OGVosFTm22,,"{'People': ['Ex-president'], 'Countries': ['Togo', 'Burkina Faso'], 'Orgs': [], 'Slogan': []}","['Politics', 'Crime']",2026-01-20 16:43:15.285312,Murder Expulsion
2013655328760434769,Reuters,"Jailed UK baby killer Lucy Letby will not face new charges, prosecutors say https://t.co/fo6BtKsuYx https://t.co/fo6BtKsuYx",,"{'People': ['Lucy Letby'], 'Countries': ['UK'], 'Orgs': [], 'Slogan': []}","['Crime', 'Justice']",2026-01-20 16:55:31.195297,Justice Denied
2013655259126600147,Reuters,"Chris Pratt and Rebecca Ferguson take audiences on an immersive journey in ‘Mercy,’ which imagines a future where the justice system is powered by AI and suspected criminals are presumed guilty unless they prove their innocence https://t.co/coz9xpScun https://t.co/7GwEc8GRsb",,"{'People': ['Chris Pratt', 'Rebecca Ferguson'], 'Orgs': [], 'Countries': [], 'Slogan': ''}","['Film', 'AI', 'Justice System']",2026-01-20 16:55:33.194251,Guilty Until
2013654826773549214,Reuters,Sectors Up Close: 'Gold is becoming more risky than stocks' https://t.co/A68JvdHfVB https://t.co/azVnBxuqhJ,,[],"['Finance', 'Investing', 'Gold', 'Stocks', 'Risk']",2026-01-20 16:55:36.172817,Risky Gold
2013653653740032399,AJEnglish,"President Donald Trump marks his first year back in the White House by expanding his presidential powers and reshaping relations between the US and the world.

🟠 Follow our LIVE coverage: https://t.co/MSaQzAHRLn https://t.co/3OE3mgvwIp",,"{'People': ['Donald Trump'], 'Countries': ['US'], 'Orgs': ['White House']}","['Politics', 'Presidential Powers', 'International Relations']",2026-01-20 16:56:06.405986,Power Expansion
2013659082322776292,Reuters,Swiss bar owner faces prosecutors for second hearing after deadly New Year's fire https://t.co/dSyglIb8dF https://t.co/dSyglIb8dF,,"{'People': [], 'Countries': ['Switzerland'], 'Orgs': [], 'Slogan': []}","['Fire', 'Prosecutors', 'Hearing', 'New Year']",2026-01-20 17:08:15.471782,Justice Served
2013658975007596558,Reuters,Ukraine's Budanov joins WEF panel on 'Path to Peace in Ukraine' https://t.co/348H6GyPss,,"{'People': ['Budanov'], 'Countries': ['Ukraine'], 'Orgs': ['WEF'], 'Slogan': 'Path to Peace'}","['Politics', 'Peace', 'Ukraine']",2026-01-20 17:08:17.926797,Peace Path
2013658144686117002,Reuters,Justice Department asks federal judge to deny special master for Epstein files https://t.co/WeuGcPLHRw https://t.co/WeuGcPLHRw,,"{'people': ['Epstein'], 'countries': [], 'orgs': ['Justice Department'], 'slogan': ''}","['Law', 'Justice']",2026-01-20 17:08:19.922334,Justice Denied
2013658872230088997,cnnbrk,"The Justice Department plans to subpoena Minnesota AG Keith Ellison as part of a criminal investigation of state and local officials, sources say. Follow live updates: https://t.co/J1tyWySqMZ https://t.co/1NfPUTzOxC",,"{'People': ['Keith Ellison'], 'Orgs': ['Justice Department'], 'Countries': ['Minnesota']}","['Politics', 'Criminal Investigation']",2026-01-20 17:08:23.383159,Justice Served
2013657782839583095,AJEnglish,"""Leave Greenland alone!""

A spectator interrupted the US national anthem ahead of an NBA showcase game in London, amid growing tensions over President Trump’s remarks on taking control of Greenland. https://t.co/Ob8sDNaM2S",,"{'people': ['Trump'], 'countries': ['Greenland', 'US'], 'orgs': ['NBA'], 'slogan': None}","['Politics', 'Sports', 'International Relations']",2026-01-20 17:08:47.228931,Leave Greenland
2013661617083343016,Reuters,"S Africa may hit 3% inflation in 2026, central bank says https://t.co/XluGBCejgn https://t.co/XluGBCejgn",,"{'Countries': ['South Africa'], 'Orgs': ['central bank']}","['Economy', 'Inflation']",2026-01-20 17:20:54.545848,Inflation Forecast
2013660417638465717,Reuters,Ugandan military leader Muhoozi Kainerugaba declared he was hoping for the death of opposition figure Bobi Wine and issued a 48 hour ultimatum for him to turn himself in to authorities after the disputed presidential election https://t.co/a4wUdNy9Cw https://t.co/Ya3pIBRwvY,,"{'people': ['Muhoozi Kainerugaba', 'Bobi Wine'], 'countries': ['Uganda'], 'orgs': [], 'slogan': ''}","['Politics', 'Military', 'Opposition', 'Elections']",2026-01-20 17:20:56.903885,Turn Yourself
2013660349061304718,Reuters,"Indonesia revokes 28 firms' permits, says violations worsened flood impact https://t.co/cO5678AtKO https://t.co/cO5678AtKO",,"{'Countries': ['Indonesia'], 'Orgs': ['28 firms']}","['Politics', 'Environment', 'Flood']",2026-01-20 17:20:58.493718,Permit Revocation
2013661180271747473,BBCWorld,Malawi raises fuel prices by more than 40% https://t.co/6I6fAAjgmf,,{'Countries': ['Malawi']},"['Economy', 'Fuel Prices']",2026-01-20 17:21:17.483286,Price Hike
2013660556188618900,AJEnglish,"BREAKING: SDF announces 'full commitment' to ceasefire agreed with Damascus

🔴 LIVE updates: https://t.co/RrxlfvbgGi https://t.co/YvrBMX0c6n",,"{'People': [], 'Countries': ['Damascus'], 'Orgs': ['SDF'], 'Slogan': []}","['Ceasefire', 'Conflict']",2026-01-20 17:21:26.585075,Full Commitment
2013665475306074532,Reuters,"Milan's Bocconi, Politecnico universities fold startup hubs into ION-backed foundation https://t.co/AivGJt5e0w https://t.co/AivGJt5e0w",,"{'People': [], 'Countries': [], 'Orgs': [""Milan's Bocconi"", 'Politecnico', 'ION'], 'Slogan': []}","['Education', 'Innovation', 'Startups']",2026-01-20 17:33:33.964163,Startup Hub
